County,State,Avalanche_2000,Blizzard_2000,Drought_2000,Excessive_Heat_2000,Extreme_Cold_2000,Tornado_2000,Wildfire_2000,Total_Events_2000,Avalanche_2001,Blizzard_2001,Drought_2001,Excessive_Heat_2001,Extreme_Cold_2001,Tornado_2001,Wildfire_2001,Total_Events_2001,Avalanche_2002,Blizzard_2002,Drought_2002,Excessive_Heat_2002,Extreme_Cold_2002,Tornado_2002,Wildfire_2002,Total_Events_2002,Avalanche_2003,Blizzard_2003,Drought_2003,Excessive_Heat_2003,Extreme_Cold_2003,Tornado_2003,Wildfire_2003,Total_Events_2003,Avalanche_2004,Blizzard_2004,Drought_2004,Excessive_Heat_2004,Extreme_Cold_2004,Tornado_2004,Wildfire_2004,Total_Events_2004,Avalanche_2005,Blizzard_2005,Drought_2005,Excessive_Heat_2005,Extreme_Cold_2005,Tornado_2005,Wildfire_2005,Total_Events_2005,Avalanche_2006,Blizzard_2006,Drought_2006,Excessive_Heat_2006,Extreme_Cold_2006,Tornado_2006,Wildfire_2006,Total_Events_2006,Avalanche_2007,Blizzard_2007,Drought_2007,Excessive_Heat_2007,Extreme_Cold_2007,Tornado_2007,Wildfire_2007,Total_Events_2007,Avalanche_2008,Blizzard_2008,Drought_2008,Excessive_Heat_2008,Extreme_Cold_2008,Tornado_2008,Wildfire_2008,Total_Events_2008,Avalanche_2009,Blizzard_2009,Drought_2009,Excessive_Heat_2009,Extreme_Cold_2009,Tornado_2009,Wildfire_2009,Total_Events_2009,Avalanche_2010,Blizzard_2010,Drought_2010,Excessive_Heat_2010,Extreme_Cold_2010,Tornado_2010,Wildfire_2010,Total_Events_2010,Avalanche_2011,Blizzard_2011,Drought_2011,Excessive_Heat_2011,Extreme_Cold_2011,Tornado_2011,Wildfire_2011,Total_Events_2011,Avalanche_2012,Blizzard_2012,Drought_2012,Excessive_Heat_2012,Extreme_Cold_2012,Tornado_2012,Wildfire_2012,Total_Events_2012,Avalanche_2013,Blizzard_2013,Drought_2013,Excessive_Heat_2013,Extreme_Cold_2013,Tornado_2013,Wildfire_2013,Total_Events_2013,Avalanche_2014,Blizzard_2014,Drought_2014,Excessive_Heat_2014,Extreme_Cold_2014,Tornado_2014,Wildfire_2014,Total_Events_2014,Avalanche_2015,Blizzard_2015,Drought_2015,Excessive_Heat_2015,Extreme_Cold_2015,Tornado_2015,Wildfire_2015,Total_Events_2015,Avalanche_2016,Blizzard_2016,Drought_2016,Excessive_Heat_2016,Extreme_Cold_2016,Tornado_2016,Wildfire_2016,Total_Events_2016,Latitude,Longitude
Pima,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,32,0,1,0,0,33,0,0,6,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,6,0,0,0,6,32.07,-111.61
Pinal,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,12,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,16,0,0,0,0,16,0,0,4,1,0,0,1,6,0,0,0,4,0,0,0,4,32.95,-111.38
Santa Cruz AZ,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5,0,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5,-110.88
Yavapai,AZ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,4,10,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34.69,-112.44
Yuma,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.83,-113.82
Bernalillo,NM,0,0,14,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,16,0,0,0,0,16,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,2,1,1,24,0,0,22,0,0,0,1,23,0,0,18,0,0,0,0,18,0,0,10,0,0,0,2,12,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,35.08,-106.7
Catron,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,11,0,0,0,0,11,0,0,8,0,0,0,0,8,0,0,15,0,0,0,0,15,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,34.04,-108.43
Chaves,NM,0,0,14,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,17,0,0,16,0,0,0,0,16,0,0,2,0,0,7,0,9,0,0,0,0,0,1,0,1,0,0,7,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,22,0,0,0,0,22,0,0,23,0,0,0,0,23,0,0,19,0,0,0,0,19,0,0,14,0,0,1,0,15,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,1,33.35,-104.36
Cibola,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,24,0,0,10,0,0,0,0,10,0,0,20,0,0,0,0,20,0,0,19,0,0,0,0,19,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,34.94,-107.83
Colfax,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,6,0,3,30,0,0,32,0,0,0,0,32,0,0,35,0,0,0,2,37,0,0,60,0,0,3,0,63,0,5,13,0,0,0,0,18,0,0,0,0,0,0,0,0,36.54,-104.65
Curry,NM,0,0,7,2,0,2,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,9,0,0,8,0,0,4,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,0,1,0,3,15,0,0,11,0,0,0,0,11,0,1,9,0,0,0,0,10,0,0,7,0,0,1,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.6,-103.38
De Baca,NM,0,0,7,2,0,0,0,9,0,0,0,0,0,2,0,2,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,12,0,0,0,0,12,0,1,10,0,0,0,0,11,0,0,6,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.37,-104.39
Dona Ana,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18,0,0,0,0,18,0,0,18,0,0,0,0,18,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.29,-106.75
Eddy,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,32.39,-104.21
Grant,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,27,0,0,0,0,27,0,0,30,0,0,0,0,30,0,0,9,0,0,1,0,10,0,0,0,0,0,0,0,0,32.89,-108.33
Guadalupe,NM,0,0,7,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,1,13,0,0,11,0,0,0,1,12,0,1,9,0,0,0,0,10,0,0,11,0,0,0,0,11,0,1,2,0,0,0,0,3,0,0,0,0,0,1,0,1,34.93,-104.72
Harding,NM,0,0,7,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,10,0,0,11,0,0,0,0,11,0,0,9,0,0,0,0,9,0,0,12,0,0,0,0,12,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,35.85,-103.64
Hidalgo,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,0,0,26,0,0,0,0,26,0,0,12,0,0,0,0,12,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,31.68,-108.63
Lea,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,32.73,-103.32
Lincoln NM,NM,0,0,13,4,0,0,1,18,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,17,0,0,16,0,0,0,0,16,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,2,0,0,30,0,3,0,3,36,0,0,33,0,0,0,1,34,0,0,27,0,0,0,0,27,0,0,14,0,0,3,0,17,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,33.89,-105.4
Los Alamos,NM,0,0,7,4,0,0,1,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,8,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.87,-106.3
Luna,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,9,0,0,12,0,0,0,0,12,0,0,9,0,0,0,0,9,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.19,-107.75
Mckinley,NM,0,0,7,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,4,0,0,7,0,0,0,0,7,0,0,7,0,0,0,0,7,0,0,10,0,0,0,0,10,0,0,5,0,0,0,0,5,0,0,0,0,0,1,0,1,35.55,-108.31
Mora,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96,-104.97
Otero,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,24,0,5,0,0,29,0,0,43,0,0,0,0,43,0,0,54,0,0,0,0,54,0,0,50,0,0,0,0,50,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,32.55,-105.92
Quay,NM,0,0,7,2,0,0,0,9,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,8,0,0,8,0,0,0,0,8,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,0,1,14,0,0,11,0,0,0,0,11,0,1,10,0,0,0,0,11,0,0,12,0,0,0,0,12,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,35.11,-103.57
Rio Arriba,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,12,0,0,5,0,0,0,1,6,0,0,16,0,0,0,0,16,0,0,20,0,0,1,0,21,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,36.67,-106.73
Roosevelt,NM,0,0,7,2,0,1,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,1,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,11,0,1,0,0,12,0,0,11,0,0,2,0,13,0,1,10,0,0,0,0,11,0,0,7,0,0,0,0,7,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,34.04,-103.38
Sandoval,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,2,23,0,0,11,0,0,0,0,11,0,0,16,0,0,0,3,19,0,0,27,0,0,0,2,29,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,35.66,-106.8
